Strategy,Mean Ret (%),Std (%),Ann. Sharpe,Max DD (%),Skew,Kurt
ENet+H,0.43679330828056356,6.838363733789747,0.2215746709493165,103.54269610127709,0.9049889437443507,6.239591216228588
OLS-3,0.8065596076203401,4.300055062755968,0.6506670073376389,39.59165908597111,0.4694820486369719,2.7007400262465744
PCR,0.8786738812560235,5.320949839003801,0.5728420447574172,53.51736350422396,0.5749324381933687,2.6124722088563033
PLS,0.9067347286033821,5.200184821684526,0.6048640938112707,56.96218882873114,0.3225645634566509,2.2152003629143344
