Strategy,Mean Ret (%),Std (%),Ann. Sharpe,Max DD (%),Skew,Kurt
ENet+H,0.5447401707273068,6.838501519783782,0.2763279332563648,90.28191077486527,0.9163907120810577,6.249531069885645
OLS-3,0.8751134572619905,4.2989286609742345,0.7061556822498976,37.895027238267296,0.47141071739668516,2.7059603572714916
PCR,1.0107688227130989,5.3220700575804445,0.6588212283699206,48.72587514878903,0.5748700153750445,2.606328802680782
PLS,1.0362403104795201,5.202648511285809,0.6909272643290173,49.68119869597252,0.32190398714923546,2.2225486399644856
